INFO - [♥] Lovely 0.8.0
INFO - [♥] Game directory is at "C:\\Program Files (x86)\\Steam\\steamapps\\common\\Balatro"
INFO - [♥] Writing logs to "C:\\Users\\PC\\AppData\\Roaming\\Balatro\\Mods\\lovely\\log"
INFO - [♥] Using mod directory at "C:\\Users\\PC\\AppData\\Roaming\\Balatro\\Mods"
INFO - [♥] Initialization complete in 30ms
INFO - [G] LONG DT @ 519: 0.086864727085918
INFO - [G] LONG DT @ 519: 0.091933541668682
INFO - [G] LONG DT @ 519: 0.084689153334944
INFO - [G] LONG DT @ 519: 0.08723740266798
INFO - [G] LONG DT @ 519: 0.081271522134408
INFO - [G] LONG DT @ 519: 0.067480277707518
INFO - [G] LONG DT @ 519: 0.05833390216601
INFO - [G] LONG DT @ 519: 0.061907221732836
INFO - [G] LONG DT @ 519: 0.0525014173862
INFO - [G] LONG DT @ 655: 0.051592755065007
INFO - [G] LONG DT @ 664: 0.05025245546881
INFO - [G] LONG DT @ 773: 0.064027981676405
INFO - [G] LONG DT @ 773: 0.067555305341183
INFO - [G] LONG DT @ 774: 0.057450544272952
INFO - [G] LONG DT @ 876: 0.078254527714694
INFO - [G] LONG DT @ 877: 0.064255462171823
INFO - [G] LONG DT @ 877: 0.052854309737388
INFO - [G] LONG DT @ 882: 0.070736205209085
INFO - [G] LONG DT @ 882: 0.059812424167295
INFO - [G] LONG DT @ 882: 0.051533079333811
