INFO - [♥] Lovely 0.8.0
INFO - [♥] Game directory is at "C:\\Program Files (x86)\\Steam\\steamapps\\common\\Balatro"
INFO - [♥] Writing logs to "C:\\Users\\PC\\AppData\\Roaming\\Balatro\\Mods\\lovely\\log"
INFO - [♥] Using mod directory at "C:\\Users\\PC\\AppData\\Roaming\\Balatro\\Mods"
INFO - [♥] Initialization complete in 15ms
INFO - [G] LONG DT @ 15: 0.060357556455
INFO - [G] LONG DT @ 15: 0.062929705164002
INFO - [G] LONG DT @ 15: 0.1
INFO - [G] LONG DT @ 15: 0.1
INFO - [G] LONG DT @ 15: 0.08353611999999
INFO - [G] LONG DT @ 15: 0.096230815999865
INFO - [G] LONG DT @ 15: 0.081293652799813
INFO - [G] LONG DT @ 15: 0.069200542239763
INFO - [G] LONG DT @ 15: 0.060930073792059
INFO - [G] LONG DT @ 16: 0.078503259033546
INFO - [G] LONG DT @ 16: 0.079537647226749
INFO - [G] LONG DT @ 16: 0.073902137781447
INFO - [G] LONG DT @ 16: 0.074767310225219
INFO - [G] LONG DT @ 16: 0.082557768180169
INFO - [G] LONG DT @ 16: 0.068375734544193
INFO - [G] LONG DT @ 16: 0.058064467635315
