INFO - [♥] Lovely 0.8.0
INFO - [♥] Game directory is at "C:\\Program Files (x86)\\Steam\\steamapps\\common\\Balatro"
INFO - [♥] Writing logs to "C:\\Users\\PC\\AppData\\Roaming\\Balatro\\Mods\\lovely\\log"
INFO - [♥] Using mod directory at "C:\\Users\\PC\\AppData\\Roaming\\Balatro\\Mods"
INFO - [♥] Initialization complete in 32ms
INFO - [G] LONG DT @ 12: 0.050611656303185
INFO - [G] LONG DT @ 12: 0.051223785042548
INFO - [G] LONG DT @ 16: 0.053408349584237
INFO - [G] LONG DT @ 21: 0.05336731929421
INFO - [G] LONG DT @ 21: 0.1
INFO - [G] LONG DT @ 21: 0.08549206
INFO - [G] LONG DT @ 21: 0.077945088
INFO - [G] LONG DT @ 21: 0.0665696504
INFO - [G] LONG DT @ 21: 0.05840196032
INFO - [G] LONG DT @ 21: 0.050516688256
INFO - [G] LONG DT @ 34: 0.052057261815597
INFO - [G] LONG DT @ 34: 0.055631649452478
INFO - [G] LONG DT @ 34: 0.055918939561982
INFO - [G] LONG DT @ 1566: 0.052746959738215
INFO - [G] LONG DT @ 1566: 0.065163287790574
INFO - [G] LONG DT @ 1566: 0.059712890232486
